CELL_ID,highway_rank,max_lanes,mean_gvi,total_road_length_m,n_road_segments
다사71005250,0,0.0,0.0,0.0,0
다사71005075,2,2.0,-0.2724025486955955,326.2738994345208,2
다사71005100,2,2.0,-0.31316369612455036,965.6621084403791,2
다사71005125,2,2.0,-0.2095945460179259,412.75780421358184,5
다사71005150,0,0.0,0.0,0.0,0
다사70754975,0,0.0,0.0,0.0,0
다사70755000,0,0.0,0.0,0.0,0
다사70755025,0,0.0,0.0,0.0,0
다사70755050,0,0.0,0.0,0.0,0
다사70505275,0,0.0,0.0,0.0,0
다사70505300,0,0.0,0.0,0.0,0
다사70505325,0,0.0,0.0,0.0,0
다사70754950,3,2.0,-0.0872534413268649,273.3292171529697,3
다사70755175,0,0.0,0.0,0.0,0
다사70755200,0,0.0,0.0,0.0,0
다사70755225,0,0.0,0.0,0.0,0
다사70755250,0,0.0,0.0,0.0,0
다사70755075,0,0.0,0.0,0.0,0
다사70755100,0,0.0,0.0,0.0,0
다사70755125,2,2.0,-0.30363633017138386,329.9232336148998,3
다사70755150,0,0.0,0.0,0.0,0
다사71504950,3,2.0,-0.2961255069712803,651.6859029735326,1
다사71504975,3,2.0,-0.4717820761107846,632.6278395386614,1
다사71505000,0,0.0,0.0,0.0,0
다사71505025,0,0.0,0.0,0.0,0
다사71255275,0,0.0,0.0,0.0,0
다사71255300,0,0.0,0.0,0.0,0
다사71255325,0,0.0,0.0,0.0,0
다사71255350,0,0.0,0.0,0.0,0
다사71505150,0,0.0,0.0,0.0,0
다사71505175,0,0.0,0.0,0.0,0
다사71505200,0,0.0,0.0,0.0,0
다사71505225,0,0.0,0.0,0.0,0
다사71505050,0,0.0,0.0,0.0,0
다사71505075,0,0.0,0.0,0.0,0
다사71505100,0,0.0,0.0,0.0,0
다사71505125,0,0.0,0.0,0.0,0
다사71254975,0,0.0,0.0,0.0,0
다사71255000,0,0.0,0.0,0.0,0
다사71255025,0,0.0,0.0,0.0,0
다사71255050,0,0.0,0.0,0.0,0
다사71005275,0,0.0,0.0,0.0,0
다사71005300,0,0.0,0.0,0.0,0
다사71005325,0,0.0,0.0,0.0,0
다사71254950,3,2.0,-0.44901208980844515,344.5190481835866,6
다사71255175,0,0.0,0.0,0.0,0
다사71255200,0,0.0,0.0,0.0,0
다사71255225,0,0.0,0.0,0.0,0
다사71255250,0,0.0,0.0,0.0,0
다사71255075,2,4.0,-0.21962105306586502,644.2824962400412,2
다사71255100,0,0.0,0.0,0.0,0
다사71255125,0,0.0,0.0,0.0,0
다사71255150,0,0.0,0.0,0.0,0
다사70005000,0,0.0,0.0,0.0,0
